,y,SRCH_EFRT,PRDV_CNT,CAT_CNT,EVNT_CNT,SAL_PRD,day_off,SEX_CD,AVG_SAL_AMT,AGE_30,AGE_50,AGE_60,AGE_1020
88149,0,4,0,-1,4,0,1,1,11372.61574074074,0,0,0,0
88150,0,13,3,0,13,0,1,1,11372.61574074074,0,0,0,0
88151,0,12,4,0,12,0,1,1,11372.61574074074,0,0,0,0
88152,1,7,2,0,7,28000,0,1,41019.86507936508,0,1,0,0
88153,1,4,1,0,4,40320,0,1,41019.86507936508,0,1,0,0
88154,0,28,7,1,28,144570,1,1,41019.86507936508,0,1,0,0
88155,0,52,18,4,52,276800,0,0,14441.666666666666,0,0,0,0
88156,0,21,2,0,21,80640,0,0,21367.14285714285,0,0,0,0
88157,0,20,5,1,20,3000,0,1,89000.0,1,0,0,0
88158,0,15,4,1,15,16500,0,1,6930.0,1,0,0,0
88159,0,7,2,1,7,34200,0,0,75497.61904761905,0,0,1,0
88160,0,11,4,1,11,68000,1,0,15583.333333333334,1,0,0,0
88161,0,11,3,1,11,0,0,1,10900.0,0,0,0,0
88162,1,9,4,1,9,27000,1,1,11025.0,1,0,0,0
88163,0,34,9,1,34,54000,1,1,11025.0,1,0,0,0
88164,0,4,2,1,4,40000,0,1,14720.79185520362,0,0,0,1
88165,0,9,4,1,9,14400,0,1,14720.79185520362,0,0,0,1
88166,0,8,3,2,8,25500,1,1,14720.79185520362,0,0,0,1
88167,1,8,3,1,8,25200,1,1,14720.79185520362,0,0,0,1
88168,1,8,3,1,8,32200,1,1,14720.79185520362,0,0,0,1
88169,0,9,3,1,9,32200,1,1,14720.79185520362,0,0,0,1
88170,0,32,12,1,32,294500,1,1,14720.79185520362,0,0,0,1
88171,1,7,2,0,7,0,1,1,14720.79185520362,0,0,0,1
88172,0,9,4,1,9,73500,1,1,14720.79185520362,0,0,0,1
88173,0,29,6,0,29,89280,1,1,21442.0,1,0,0,0
88174,0,10,3,1,10,22320,1,1,21442.0,1,0,0,0
88175,0,23,7,2,23,29200,1,1,3000.0,0,0,1,0
88176,0,38,13,1,38,112750,1,0,23215.714285714286,1,0,0,0
88177,1,27,6,1,27,47400,1,1,12602.403846153846,0,0,0,0
88178,1,29,7,2,29,100600,0,1,12602.403846153846,0,0,0,0
88179,1,13,5,0,13,105000,0,1,12602.403846153846,0,0,0,0
88180,0,32,11,1,32,153000,0,1,12602.403846153846,0,0,0,0
88181,0,19,4,1,19,63000,0,1,12602.403846153846,0,0,0,0
88182,0,19,4,0,19,12000,0,1,12602.403846153846,0,0,0,0
88183,1,11,1,0,11,0,1,1,10755.0,0,0,0,0
88184,1,77,22,1,77,404740,1,1,10755.0,0,0,0,0
88185,0,5,1,0,5,0,0,1,10755.0,0,0,0,0
88186,0,5,1,0,5,0,1,1,10755.0,0,0,0,0
88187,1,7,1,0,7,0,0,1,10755.0,0,0,0,0
88188,0,53,10,1,53,200600,1,1,10755.0,0,0,0,0
88189,0,6,3,1,6,41300,1,1,22680.0,0,0,0,0
88190,0,5,0,-1,5,0,1,1,22680.0,0,0,0,0
88191,1,8,2,0,8,120000,0,0,13000.0,1,0,0,0
88192,0,20,7,1,20,360000,0,0,13000.0,1,0,0,0
88193,0,83,30,1,83,598300,0,0,24994.64285714285,1,0,0,0
88194,0,4,1,0,4,0,1,0,24994.64285714285,1,0,0,0
88195,0,36,8,2,36,59000,0,1,20505.327083333334,0,0,0,1
88196,0,13,3,1,13,48000,0,1,20505.327083333334,0,0,0,1
88197,0,5,1,0,5,0,0,1,3671.136363636364,0,0,1,0
88198,1,5,1,0,5,0,1,1,3671.136363636364,0,0,1,0
88199,0,4,0,-1,4,0,1,1,3671.136363636364,0,0,1,0
88200,1,6,1,0,6,0,1,1,3671.136363636364,0,0,1,0
88201,0,5,1,0,5,0,1,1,3671.136363636364,0,0,1,0
88202,1,5,1,0,5,0,1,1,3671.136363636364,0,0,1,0
88203,0,5,1,0,5,0,1,1,3671.136363636364,0,0,1,0
88204,1,5,1,0,5,0,1,1,3671.136363636364,0,0,1,0
88205,0,5,1,0,5,0,1,1,3671.136363636364,0,0,1,0
88206,0,5,1,0,5,0,1,1,3671.136363636364,0,0,1,0
88207,0,5,1,0,5,0,1,1,3671.136363636364,0,0,1,0
88208,0,5,1,0,5,0,1,1,3671.136363636364,0,0,1,0
88209,0,5,1,0,5,0,1,1,3671.136363636364,0,0,1,0
88210,0,5,1,0,5,0,0,1,3671.136363636364,0,0,1,0
88211,1,5,1,0,5,0,0,1,3671.136363636364,0,0,1,0
88212,0,5,1,0,5,0,1,1,3671.136363636364,0,0,1,0
88213,0,5,1,0,5,0,1,1,3671.136363636364,0,0,1,0
88214,0,5,1,0,5,0,1,1,3671.136363636364,0,0,1,0
88215,1,5,1,0,5,0,1,1,3671.136363636364,0,0,1,0
88216,0,4,0,-1,4,0,0,1,3671.136363636364,0,0,1,0
88217,0,124,31,3,124,475380,1,0,6300.0,0,0,0,0
88218,0,5,0,-1,5,0,1,0,6300.0,0,0,0,0
88219,0,13,4,1,13,21600,0,1,21908.333333333336,1,0,0,0
88220,0,8,2,0,8,56000,0,1,25016.818181818184,0,1,0,0
88221,0,21,5,1,21,90000,0,1,8376.666666666668,0,0,0,0
88222,0,5,1,0,5,0,0,1,7842.5,0,0,0,0
